polynomial,budget,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
unity-cubic,24,3,3,-0.8,-0.5333333333333334,0.5333333333333334,0.8,100,4.46,0.0,0.0
unity-cubic,24,4,3,-0.5333333333333334,-0.26666666666666683,0.5333333333333334,0.8,100,4.38,0.0,0.0
unity-cubic,24,5,3,-0.26666666666666683,0.0,0.5333333333333334,0.8,100,5.57,0.0,0.0
unity-cubic,24,6,3,0.0,0.2666666666666666,0.5333333333333334,0.8,100,9.78,0.37,0.01
unity-cubic,24,7,3,0.2666666666666666,0.5333333333333332,0.5333333333333334,0.8,100,13.32,0.92,0.03
unity-cubic,24,8,3,0.5333333333333332,0.7999999999999998,0.5333333333333334,0.8,100,8.35,0.2,0.0
unity-cubic,24,9,3,0.7999999999999998,1.0666666666666664,0.5333333333333334,0.8,100,6.17,0.0,0.0
unity-cubic,24,10,3,1.0666666666666664,1.333333333333333,0.5333333333333334,0.8,100,5.72,0.0,0.0
unity-cubic,24,11,3,1.333333333333333,1.6,0.5333333333333334,0.8,100,5.82,0.0,0.0
unity-cubic,24,0,4,-1.6,-1.3333333333333335,0.26666666666666683,0.5333333333333334,100,7.67,0.0,0.0
unity-cubic,24,1,4,-1.3333333333333335,-1.0666666666666669,0.26666666666666683,0.5333333333333334,100,7.16,0.0,0.0
unity-cubic,24,2,4,-1.0666666666666669,-0.8,0.26666666666666683,0.5333333333333334,100,6.35,0.0,0.0
unity-cubic,24,3,4,-0.8,-0.5333333333333334,0.26666666666666683,0.5333333333333334,100,6.09,0.0,0.0
unity-cubic,24,4,4,-0.5333333333333334,-0.26666666666666683,0.26666666666666683,0.5333333333333334,100,6.12,0.0,0.0
unity-cubic,24,5,4,-0.26666666666666683,0.0,0.26666666666666683,0.5333333333333334,100,7.59,0.08,0.0
unity-cubic,24,6,4,0.0,0.2666666666666666,0.26666666666666683,0.5333333333333334,100,8.49,0.26,0.0
unity-cubic,24,7,4,0.2666666666666666,0.5333333333333332,0.26666666666666683,0.5333333333333334,100,9.54,0.36,0.0
unity-cubic,24,8,4,0.5333333333333332,0.7999999999999998,0.26666666666666683,0.5333333333333334,100,6.48,0.03,0.0
unity-cubic,24,9,4,0.7999999999999998,1.0666666666666664,0.26666666666666683,0.5333333333333334,100,5.03,0.0,0.0
unity-cubic,24,10,4,1.0666666666666664,1.333333333333333,0.26666666666666683,0.5333333333333334,100,4.96,0.0,0.0
unity-cubic,24,11,4,1.333333333333333,1.6,0.26666666666666683,0.5333333333333334,100,5.0,0.0,0.0
unity-cubic,24,0,5,-1.6,-1.3333333333333335,0.0,0.26666666666666683,100,12.94,0.87,0.01
unity-cubic,24,1,5,-1.3333333333333335,-1.0666666666666669,0.0,0.26666666666666683,100,10.57,0.6,0.01
unity-cubic,24,2,5,-1.0666666666666669,-0.8,0.0,0.26666666666666683,100,10.33,0.51,0.0
unity-cubic,24,3,5,-0.8,-0.5333333333333334,0.0,0.26666666666666683,100,11.01,0.56,0.01
unity-cubic,24,4,5,-0.5333333333333334,-0.26666666666666683,0.0,0.26666666666666683,100,9.51,0.36,0.02
unity-cubic,24,5,5,-0.26666666666666683,0.0,0.0,0.26666666666666683,100,12.16,0.76,0.02
unity-cubic,24,6,5,0.0,0.2666666666666666,0.0,0.26666666666666683,100,12.42,0.78,0.02
unity-cubic,24,7,5,0.2666666666666666,0.5333333333333332,0.0,0.26666666666666683,100,8.31,0.2,0.0
