polynomial,budget,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
asymmetric-cubic,24,11,9,1.333333333333333,1.6,-1.0666666666666664,-0.7999999999999998,225,6.586666666666667,0.0,0.0
asymmetric-cubic,24,0,10,-1.6,-1.3333333333333335,-1.333333333333333,-1.0666666666666664,225,6.782222222222222,0.0,0.0
asymmetric-cubic,24,1,10,-1.3333333333333335,-1.0666666666666669,-1.333333333333333,-1.0666666666666664,225,6.0,0.0,0.0
asymmetric-cubic,24,2,10,-1.0666666666666669,-0.8,-1.333333333333333,-1.0666666666666664,225,6.0,0.0,0.0
asymmetric-cubic,24,3,10,-0.8,-0.5333333333333334,-1.333333333333333,-1.0666666666666664,225,6.0,0.0,0.0
asymmetric-cubic,24,4,10,-0.5333333333333334,-0.26666666666666683,-1.333333333333333,-1.0666666666666664,225,5.902222222222222,0.0,0.0
asymmetric-cubic,24,5,10,-0.26666666666666683,0.0,-1.333333333333333,-1.0666666666666664,225,5.964444444444444,0.0,0.0
asymmetric-cubic,24,6,10,0.0,0.2666666666666666,-1.333333333333333,-1.0666666666666664,225,6.0,0.0,0.0
asymmetric-cubic,24,7,10,0.2666666666666666,0.5333333333333332,-1.333333333333333,-1.0666666666666664,225,6.733333333333333,0.0,0.0
asymmetric-cubic,24,8,10,0.5333333333333332,0.7999999999999998,-1.333333333333333,-1.0666666666666664,225,8.364444444444445,0.12,0.0
asymmetric-cubic,24,9,10,0.7999999999999998,1.0666666666666664,-1.333333333333333,-1.0666666666666664,225,10.097777777777777,0.56,0.0
asymmetric-cubic,24,10,10,1.0666666666666664,1.333333333333333,-1.333333333333333,-1.0666666666666664,225,8.195555555555556,0.05333333333333334,0.0
asymmetric-cubic,24,11,10,1.333333333333333,1.6,-1.333333333333333,-1.0666666666666664,225,7.2444444444444445,0.0,0.0
asymmetric-cubic,24,0,11,-1.6,-1.3333333333333335,-1.6,-1.333333333333333,225,7.0,0.0,0.0
asymmetric-cubic,24,1,11,-1.3333333333333335,-1.0666666666666669,-1.6,-1.333333333333333,225,6.288888888888889,0.0,0.0
asymmetric-cubic,24,2,11,-1.0666666666666669,-0.8,-1.6,-1.333333333333333,225,6.0,0.0,0.0
asymmetric-cubic,24,3,11,-0.8,-0.5333333333333334,-1.6,-1.333333333333333,225,6.0,0.0,0.0
asymmetric-cubic,24,4,11,-0.5333333333333334,-0.26666666666666683,-1.6,-1.333333333333333,225,6.0,0.0,0.0
asymmetric-cubic,24,5,11,-0.26666666666666683,0.0,-1.6,-1.333333333333333,225,6.0,0.0,0.0
asymmetric-cubic,24,6,11,0.0,0.2666666666666666,-1.6,-1.333333333333333,225,6.3244444444444445,0.0,0.0
asymmetric-cubic,24,7,11,0.2666666666666666,0.5333333333333332,-1.6,-1.333333333333333,225,7.0,0.0,0.0
asymmetric-cubic,24,8,11,0.5333333333333332,0.7999999999999998,-1.6,-1.333333333333333,225,7.768888888888889,0.0,0.0
asymmetric-cubic,24,9,11,0.7999999999999998,1.0666666666666664,-1.6,-1.333333333333333,225,9.755555555555556,0.4711111111111111,0.0
asymmetric-cubic,24,10,11,1.0666666666666664,1.333333333333333,-1.6,-1.333333333333333,225,10.062222222222223,0.52,0.0
asymmetric-cubic,24,11,11,1.333333333333333,1.6,-1.6,-1.333333333333333,225,8.173333333333334,0.0,0.0
split-critical-asymmetric-cubic,24,0,0,-1.6,-1.3333333333333335,1.3333333333333335,1.6,225,6.0,0.0,0.0
split-critical-asymmetric-cubic,24,1,0,-1.3333333333333335,-1.0666666666666669,1.3333333333333335,1.6,225,6.0,0.0,0.0
split-critical-asymmetric-cubic,24,2,0,-1.0666666666666669,-0.8,1.3333333333333335,1.6,225,5.208888888888889,0.0,0.0
split-critical-asymmetric-cubic,24,3,0,-0.8,-0.5333333333333334,1.3333333333333335,1.6,225,5.0,0.0,0.0
split-critical-asymmetric-cubic,24,4,0,-0.5333333333333334,-0.26666666666666683,1.3333333333333335,1.6,225,5.0,0.0,0.0
split-critical-asymmetric-cubic,24,5,0,-0.26666666666666683,0.0,1.3333333333333335,1.6,225,5.0488888888888885,0.0,0.0
split-critical-asymmetric-cubic,24,6,0,0.0,0.2666666666666666,1.3333333333333335,1.6,225,5.88,0.0,0.0
split-critical-asymmetric-cubic,24,7,0,0.2666666666666666,0.5333333333333332,1.3333333333333335,1.6,225,6.937777777777778,0.0,0.0
split-critical-asymmetric-cubic,24,8,0,0.5333333333333332,0.7999999999999998,1.3333333333333335,1.6,225,10.315555555555555,0.4711111111111111,0.0044444444444444444
split-critical-asymmetric-cubic,24,9,0,0.7999999999999998,1.0666666666666664,1.3333333333333335,1.6,225,10.2,0.5066666666666667,0.0
split-critical-asymmetric-cubic,24,10,0,1.0666666666666664,1.333333333333333,1.3333333333333335,1.6,225,11.666666666666666,0.7822222222222223,0.0044444444444444444
split-critical-asymmetric-cubic,24,11,0,1.333333333333333,1.6,1.3333333333333335,1.6,225,8.746666666666666,0.14666666666666667,0.0
split-critical-asymmetric-cubic,24,0,1,-1.6,-1.3333333333333335,1.0666666666666669,1.3333333333333335,225,6.0,0.0,0.0
