power,budget,threshold,tile_x,tile_y,x_min,x_max,y_min,y_max,sample_count,mean_iterations,late_fraction,unresolved_fraction
3,80,40,5,4,-0.26666666666666683,0.0,0.26666666666666683,0.5333333333333334,100,7.59,0.0,0.0
3,80,40,6,4,0.0,0.2666666666666666,0.26666666666666683,0.5333333333333334,100,8.49,0.0,0.0
3,80,40,7,4,0.2666666666666666,0.5333333333333332,0.26666666666666683,0.5333333333333334,100,9.54,0.0,0.0
3,80,40,8,4,0.5333333333333332,0.7999999999999998,0.26666666666666683,0.5333333333333334,100,6.48,0.0,0.0
3,80,40,9,4,0.7999999999999998,1.0666666666666664,0.26666666666666683,0.5333333333333334,100,5.03,0.0,0.0
3,80,40,10,4,1.0666666666666664,1.333333333333333,0.26666666666666683,0.5333333333333334,100,4.96,0.0,0.0
3,80,40,11,4,1.333333333333333,1.6,0.26666666666666683,0.5333333333333334,100,5.0,0.0,0.0
3,80,40,0,5,-1.6,-1.3333333333333335,0.0,0.26666666666666683,100,12.98,0.0,0.0
3,80,40,1,5,-1.3333333333333335,-1.0666666666666669,0.0,0.26666666666666683,100,10.61,0.0,0.0
3,80,40,2,5,-1.0666666666666669,-0.8,0.0,0.26666666666666683,100,10.33,0.0,0.0
3,80,40,3,5,-0.8,-0.5333333333333334,0.0,0.26666666666666683,100,11.09,0.0,0.0
3,80,40,4,5,-0.5333333333333334,-0.26666666666666683,0.0,0.26666666666666683,100,9.69,0.01,0.0
3,80,40,5,5,-0.26666666666666683,0.0,0.0,0.26666666666666683,100,12.25,0.0,0.0
3,80,40,6,5,0.0,0.2666666666666666,0.0,0.26666666666666683,100,12.44,0.0,0.0
3,80,40,7,5,0.2666666666666666,0.5333333333333332,0.0,0.26666666666666683,100,8.31,0.0,0.0
3,80,40,8,5,0.5333333333333332,0.7999999999999998,0.0,0.26666666666666683,100,5.19,0.0,0.0
3,80,40,9,5,0.7999999999999998,1.0666666666666664,0.0,0.26666666666666683,100,3.9,0.0,0.0
3,80,40,10,5,1.0666666666666664,1.333333333333333,0.0,0.26666666666666683,100,4.09,0.0,0.0
3,80,40,11,5,1.333333333333333,1.6,0.0,0.26666666666666683,100,4.96,0.0,0.0
3,80,40,0,6,-1.6,-1.3333333333333335,-0.2666666666666666,0.0,100,12.98,0.0,0.0
3,80,40,1,6,-1.3333333333333335,-1.0666666666666669,-0.2666666666666666,0.0,100,10.61,0.0,0.0
3,80,40,2,6,-1.0666666666666669,-0.8,-0.2666666666666666,0.0,100,10.33,0.0,0.0
3,80,40,3,6,-0.8,-0.5333333333333334,-0.2666666666666666,0.0,100,11.09,0.0,0.0
3,80,40,4,6,-0.5333333333333334,-0.26666666666666683,-0.2666666666666666,0.0,100,9.69,0.01,0.0
3,80,40,5,6,-0.26666666666666683,0.0,-0.2666666666666666,0.0,100,12.25,0.0,0.0
3,80,40,6,6,0.0,0.2666666666666666,-0.2666666666666666,0.0,100,12.44,0.0,0.0
3,80,40,7,6,0.2666666666666666,0.5333333333333332,-0.2666666666666666,0.0,100,8.31,0.0,0.0
3,80,40,8,6,0.5333333333333332,0.7999999999999998,-0.2666666666666666,0.0,100,5.19,0.0,0.0
3,80,40,9,6,0.7999999999999998,1.0666666666666664,-0.2666666666666666,0.0,100,3.9,0.0,0.0
3,80,40,10,6,1.0666666666666664,1.333333333333333,-0.2666666666666666,0.0,100,4.09,0.0,0.0
3,80,40,11,6,1.333333333333333,1.6,-0.2666666666666666,0.0,100,4.96,0.0,0.0
3,80,40,0,7,-1.6,-1.3333333333333335,-0.5333333333333332,-0.2666666666666666,100,7.67,0.0,0.0
3,80,40,1,7,-1.3333333333333335,-1.0666666666666669,-0.5333333333333332,-0.2666666666666666,100,7.16,0.0,0.0
3,80,40,2,7,-1.0666666666666669,-0.8,-0.5333333333333332,-0.2666666666666666,100,6.35,0.0,0.0
3,80,40,3,7,-0.8,-0.5333333333333334,-0.5333333333333332,-0.2666666666666666,100,6.09,0.0,0.0
3,80,40,4,7,-0.5333333333333334,-0.26666666666666683,-0.5333333333333332,-0.2666666666666666,100,6.12,0.0,0.0
3,80,40,5,7,-0.26666666666666683,0.0,-0.5333333333333332,-0.2666666666666666,100,7.59,0.0,0.0
3,80,40,6,7,0.0,0.2666666666666666,-0.5333333333333332,-0.2666666666666666,100,8.49,0.0,0.0
3,80,40,7,7,0.2666666666666666,0.5333333333333332,-0.5333333333333332,-0.2666666666666666,100,9.54,0.0,0.0
3,80,40,8,7,0.5333333333333332,0.7999999999999998,-0.5333333333333332,-0.2666666666666666,100,6.48,0.0,0.0
3,80,40,9,7,0.7999999999999998,1.0666666666666664,-0.5333333333333332,-0.2666666666666666,100,5.03,0.0,0.0
3,80,40,10,7,1.0666666666666664,1.333333333333333,-0.5333333333333332,-0.2666666666666666,100,4.96,0.0,0.0
3,80,40,11,7,1.333333333333333,1.6,-0.5333333333333332,-0.2666666666666666,100,5.0,0.0,0.0
3,80,40,0,8,-1.6,-1.3333333333333335,-0.7999999999999998,-0.5333333333333332,100,6.45,0.0,0.0
